"Дата","Критерий","Парам. №1","Парам. №2","Значение"
"31.05.2017","gender_age","М","24-27",1
"31.05.2017","cities","Санкт-Петербург","",2
"31.05.2017","countries","Россия","",5
"31.05.2017","sections","Фотоальбомы","",4
"30.05.2017","views","","",3
"30.05.2017","visitors","","",3
"30.05.2017","gender","Ж","",2
"30.05.2017","age","21-24","",1
"30.05.2017","gender_age","Ж","21-24",1
"30.05.2017","cities","Сызрань","",1
"30.05.2017","cities","Санкт-Петербург","",1
"30.05.2017","countries","Россия","",2
"30.05.2017","countries","Франция","",1
"29.05.2017","views","","",6
"29.05.2017","visitors","","",6
"29.05.2017","gender","Ж","",3
"29.05.2017","gender","М","",3
"29.05.2017","age","21-24","",3
"29.05.2017","gender_age","Ж","21-24",1
"29.05.2017","gender_age","М","21-24",2
"29.05.2017","cities","Санкт-Петербург","",3
"29.05.2017","countries","Россия","",5
"29.05.2017","countries","Казахстан","",1
"28.05.2017","views","","",5
"28.05.2017","visitors","","",5
"28.05.2017","gender","Ж","",1
"28.05.2017","gender","М","",4
"28.05.2017","age","21-24","",1
"28.05.2017","age","24-27","",2
"28.05.2017","age","45+","",1
"28.05.2017","gender_age","Ж","45+",1
"28.05.2017","gender_age","М","21-24",1
"28.05.2017","gender_age","М","24-27",2
"28.05.2017","cities","Санкт-Петербург","",2
"28.05.2017","cities","Воронеж","",1
"28.05.2017","cities","Самара","",1
"28.05.2017","cities","Нур-Султан / Астана","",1
"28.05.2017","countries","Россия","",4
"28.05.2017","countries","Казахстан","",1
"27.05.2017","views","","",0
"27.05.2017","visitors","","",0
"26.05.2017","views","","",4
"26.05.2017","visitors","","",4
"26.05.2017","countries","","",4
"25.05.2017","views","","",1
"25.05.2017","visitors","","",1
"25.05.2017","countries","Россия","",1
"24.05.2017","views","","",2
"24.05.2017","visitors","","",1
"24.05.2017","countries","Россия","",1
"23.05.2017","views","","",13
"23.05.2017","visitors","","",5
"23.05.2017","gender","Ж","",1
"23.05.2017","gender","М","",3
"23.05.2017","age","18-21","",1
"23.05.2017","age","21-24","",2
"23.05.2017","gender_age","Ж","18-21",1
"23.05.2017","gender_age","М","21-24",2
"23.05.2017","cities","Хабаровск","",1
"23.05.2017","cities","Иркутск","",1
"23.05.2017","cities","Санкт-Петербург","",1
"23.05.2017","countries","Россия","",5
"23.05.2017","members","Вышедшие участники","",1
"22.05.2017","views","","",3
"22.05.2017","visitors","","",1
"22.05.2017","gender","М","",1
"22.05.2017","cities","Санкт-Петербург","",1
"22.05.2017","countries","Россия","",1
"21.05.2017","views","","",2
"21.05.2017","visitors","","",2
"21.05.2017","gender","М","",2
"21.05.2017","age","18-21","",1
"21.05.2017","age","21-24","",1
"21.05.2017","gender_age","М","18-21",1
"21.05.2017","gender_age","М","21-24",1
"21.05.2017","cities","Санкт-Петербург","",1
"21.05.2017","countries","Россия","",2
"20.05.2017","views","","",2
"20.05.2017","visitors","","",2
"20.05.2017","gender","М","",2
"20.05.2017","age","18-21","",2
"20.05.2017","gender_age","М","18-21",2
"20.05.2017","cities","Дербент","",1
"20.05.2017","cities","Балаково","",1
"20.05.2017","countries","Россия","",2
"20.05.2017","sections","Фотоальбомы","",1
"19.05.2017","views","","",5
"19.05.2017","visitors","","",5
"19.05.2017","gender","М","",5
"19.05.2017","age","18-21","",1
"19.05.2017","age","21-24","",1
"19.05.2017","age","24-27","",1
"19.05.2017","age","27-30","",1
"19.05.2017","age","45+","",1
"19.05.2017","gender_age","М","18-21",1
"19.05.2017","gender_age","М","21-24",1
"19.05.2017","gender_age","М","24-27",1
"19.05.2017","gender_age","М","27-30",1
"19.05.2017","gender_age","М","45+",1
"19.05.2017","cities","Донецк","",1
"19.05.2017","cities","Тосно","",1
"19.05.2017","countries","Россия","",3
"19.05.2017","countries","Украина","",2
"18.05.2017","views","","",2
"18.05.2017","visitors","","",1
"18.05.2017","countries","США","",1
"18.05.2017","members","Вышедшие участники","",1
"17.05.2017","views","","",1
"17.05.2017","visitors","","",1
"17.05.2017","gender","М","",1
"17.05.2017","age","18-21","",1
"17.05.2017","gender_age","М","18-21",1
"17.05.2017","countries","Россия","",1
"16.05.2017","views","","",0
"16.05.2017","visitors","","",0
"15.05.2017","views","","",1
"15.05.2017","visitors","","",1
"15.05.2017","gender","М","",1
"15.05.2017","age","18-21","",1
"15.05.2017","gender_age","М","18-21",1
"15.05.2017","cities","Балаково","",1
"15.05.2017","countries","Россия","",1
"14.05.2017","views","","",3
"14.05.2017","visitors","","",3
"14.05.2017","gender","М","",2
"14.05.2017","age","21-24","",1
"14.05.2017","age","45+","",1
"14.05.2017","gender_age","М","21-24",1
"14.05.2017","gender_age","М","45+",1
"14.05.2017","cities","Екатеринбург","",1
"14.05.2017","cities","Санкт-Петербург","",1
"14.05.2017","countries","Россия","",2
"14.05.2017","countries","Франция","",1
"13.05.2017","views","","",4
"13.05.2017","visitors","","",4
"13.05.2017","gender","Ж","",1
"13.05.2017","gender","М","",3
"13.05.2017","age","1-18","",1
"13.05.2017","age","18-21","",1
"13.05.2017","age","21-24","",1
"13.05.2017","age","30-35","",1
"13.05.2017","gender_age","Ж","1-18",1
"13.05.2017","gender_age","М","18-21",1
"13.05.2017","gender_age","М","21-24",1
"13.05.2017","gender_age","М","30-35",1
"13.05.2017","cities","Уфа","",1
"13.05.2017","cities","Балаково","",1
"13.05.2017","countries","Россия","",3
"13.05.2017","countries","Украина","",1
"12.05.2017","views","","",1
"12.05.2017","visitors","","",1
"12.05.2017","countries","Франция","",1
"11.05.2017","views","","",0
"11.05.2017","visitors","","",0
"10.05.2017","views","","",3
"10.05.2017","visitors","","",2
"10.05.2017","gender","М","",1
"10.05.2017","age","24-27","",1
"10.05.2017","gender_age","М","24-27",1
"10.05.2017","cities","Нур-Султан / Астана","",1
"10.05.2017","countries","США","",1
"10.05.2017","countries","Казахстан","",1
"09.05.2017","views","","",1
"09.05.2017","visitors","","",1
"09.05.2017","gender","М","",1
"09.05.2017","age","21-24","",1
"09.05.2017","gender_age","М","21-24",1
"09.05.2017","cities","Санкт-Петербург","",1
"09.05.2017","countries","Россия","",1
"08.05.2017","views","","",2
"08.05.2017","visitors","","",2
"08.05.2017","gender","Ж","",2
"08.05.2017","age","18-21","",1
"08.05.2017","age","24-27","",1
"08.05.2017","gender_age","Ж","18-21",1
"08.05.2017","gender_age","Ж","24-27",1
"08.05.2017","cities","Петрозаводск","",1
"08.05.2017","countries","Россия","",2
"07.05.2017","views","","",0
"07.05.2017","visitors","","",0
"06.05.2017","views","","",0
"06.05.2017","visitors","","",0
"06.05.2017","members","Новые участники","",1
"05.05.2017","views","","",6
"05.05.2017","visitors","","",3
"05.05.2017","gender","М","",3
"05.05.2017","age","18-21","",2
"05.05.2017","gender_age","М","18-21",2
"05.05.2017","cities","Санкт-Петербург","",2
"05.05.2017","countries","Россия","",3
"05.05.2017","sections","Фотоальбомы","",3
"04.05.2017","views","","",4
"04.05.2017","visitors","","",4
"04.05.2017","gender","Ж","",1
"04.05.2017","gender","М","",3
"04.05.2017","age","21-24","",1
"04.05.2017","age","30-35","",1
"04.05.2017","gender_age","М","21-24",1
"04.05.2017","gender_age","М","30-35",1
"04.05.2017","cities","Санкт-Петербург","",1
"04.05.2017","cities","Гурзуф","",1
"04.05.2017","countries","Россия","",2
"04.05.2017","countries","Украина","",2
"04.05.2017","members","Вышедшие участники","",1
"03.05.2017","views","","",2
"03.05.2017","visitors","","",2
"03.05.2017","gender","М","",2
"03.05.2017","age","21-24","",1
"03.05.2017","age","45+","",1
"03.05.2017","gender_age","М","21-24",1
"03.05.2017","gender_age","М","45+",1
"03.05.2017","cities","Санкт-Петербург","",1
"03.05.2017","countries","Украина","",1
"03.05.2017","countries","Россия","",1
"02.05.2017","views","","",1
"02.05.2017","visitors","","",1
"02.05.2017","gender","М","",1
"02.05.2017","age","24-27","",1
"02.05.2017","gender_age","М","24-27",1
"02.05.2017","cities","Санкт-Петербург","",1
"02.05.2017","countries","Россия","",1
"01.05.2017","views","","",2
"01.05.2017","visitors","","",2
"01.05.2017","gender","Ж","",2
"01.05.2017","age","21-24","",2
"01.05.2017","gender_age","Ж","21-24",2
"01.05.2017","cities","Санкт-Петербург","",1
"01.05.2017","countries","Россия","",2
"30.04.2017","views","","",2
"30.04.2017","visitors","","",2
"30.04.2017","gender","Ж","",1
"30.04.2017","gender","М","",1
"30.04.2017","age","21-24","",1
"30.04.2017","age","24-27","",1
"30.04.2017","gender_age","Ж","24-27",1
"30.04.2017","gender_age","М","21-24",1
"30.04.2017","cities","Железногорск","",1
"30.04.2017","cities","Санкт-Петербург","",1
"30.04.2017","countries","Россия","",2
"29.04.2017","views","","",2
"29.04.2017","visitors","","",2
"29.04.2017","gender","Ж","",1
"29.04.2017","gender","М","",1
"29.04.2017","age","18-21","",1
"29.04.2017","age","45+","",1
"29.04.2017","gender_age","Ж","18-21",1
"29.04.2017","gender_age","М","45+",1
"29.04.2017","cities","Мурманск","",1
"29.04.2017","countries","Украина","",1
"29.04.2017","countries","Россия","",1
"28.04.2017","views","","",2
"28.04.2017","visitors","","",2
"28.04.2017","gender","Ж","",1
"28.04.2017","gender","М","",1
"28.04.2017","age","1-18","",1
"28.04.2017","age","45+","",1
"28.04.2017","gender_age","Ж","1-18",1
"28.04.2017","gender_age","М","45+",1
"28.04.2017","countries","Россия","",1
"28.04.2017","countries","Украина","",1
"27.04.2017","views","","",3
"27.04.2017","visitors","","",2
"27.04.2017","gender","Ж","",1
"27.04.2017","gender","М","",1
"27.04.2017","age","21-24","",1
"27.04.2017","gender_age","М","21-24",1
"27.04.2017","cities","Санкт-Петербург","",1
"27.04.2017","countries","Россия","",2
"27.04.2017","sections","Обсуждения","",1
"26.04.2017","views","","",8
"26.04.2017","visitors","","",4
"26.04.2017","gender","Ж","",1
"26.04.2017","gender","М","",3
"26.04.2017","age","18-21","",1
"26.04.2017","age","24-27","",2
"26.04.2017","age","30-35","",1
"26.04.2017","gender_age","Ж","24-27",1
"26.04.2017","gender_age","М","18-21",1
"26.04.2017","gender_age","М","24-27",1
"26.04.2017","gender_age","М","30-35",1
"26.04.2017","cities","Москва","",1
"26.04.2017","cities","Шемонаиха","",1
"26.04.2017","countries","Россия","",2
"26.04.2017","countries","Израиль","",1
"26.04.2017","countries","Казахстан","",1
"26.04.2017","sections","Обсуждения","",1
"26.04.2017","sections","Видеозаписи","",1
"26.04.2017","feedback","Комментарии","",1
"25.04.2017","views","","",5
"25.04.2017","visitors","","",5
"25.04.2017","gender","Ж","",2
"25.04.2017","gender","М","",3
"25.04.2017","age","18-21","",1
"25.04.2017","age","21-24","",3
"25.04.2017","age","45+","",1
"25.04.2017","gender_age","Ж","18-21",1
"25.04.2017","gender_age","Ж","21-24",1
"25.04.2017","gender_age","М","21-24",2
"25.04.2017","gender_age","М","45+",1
"25.04.2017","cities","Новосибирск","",1
"25.04.2017","cities","Пермь","",1
"25.04.2017","cities","Санкт-Петербург","",1
"25.04.2017","countries","Россия","",4
"25.04.2017","countries","","",1
"24.04.2017","views","","",2
"24.04.2017","visitors","","",2
"24.04.2017","gender","Ж","",1
"24.04.2017","gender","М","",1
"24.04.2017","age","18-21","",1
"24.04.2017","age","24-27","",1
"24.04.2017","gender_age","Ж","18-21",1
"24.04.2017","gender_age","М","24-27",1
"24.04.2017","cities","Санкт-Петербург","",2
"24.04.2017","countries","Россия","",2
"23.04.2017","views","","",5
"23.04.2017","visitors","","",4
"23.04.2017","gender","Ж","",2
"23.04.2017","gender","М","",2
"23.04.2017","age","1-18","",1
"23.04.2017","age","24-27","",1
"23.04.2017","age","45+","",2
"23.04.2017","gender_age","Ж","1-18",1
"23.04.2017","gender_age","Ж","24-27",1
"23.04.2017","gender_age","М","45+",2
"23.04.2017","cities","Железногорск","",1
"23.04.2017","cities","Санкт-Петербург","",1
"23.04.2017","countries","Россия","",3
"23.04.2017","countries","Украина","",1
"23.04.2017","sections","Фотоальбомы","",1
"22.04.2017","views","","",1
"22.04.2017","visitors","","",1
"22.04.2017","gender","М","",1
"22.04.2017","age","18-21","",1
"22.04.2017","gender_age","М","18-21",1
"22.04.2017","countries","Россия","",1
"21.04.2017","views","","",4
"21.04.2017","visitors","","",4
"21.04.2017","gender","Ж","",2
"21.04.2017","gender","М","",1
"21.04.2017","age","21-24","",1
"21.04.2017","age","45+","",1
"21.04.2017","gender_age","Ж","21-24",1
"21.04.2017","gender_age","Ж","45+",1
"21.04.2017","cities","Санкт-Петербург","",1
"21.04.2017","countries","Россия","",3
"21.04.2017","countries","Украина","",1
"21.04.2017","members","Новые участники","",2
"21.04.2017","members","Вышедшие участники","",1
"20.04.2017","views","","",1
"20.04.2017","visitors","","",1
"20.04.2017","gender","М","",1
"20.04.2017","countries","Россия","",1
"19.04.2017","views","","",2
"19.04.2017","visitors","","",2
"19.04.2017","gender","Ж","",2
"19.04.2017","age","35-45","",1
"19.04.2017","gender_age","Ж","35-45",1
"19.04.2017","cities","Севастополь","",1
"19.04.2017","cities","Санкт-Петербург","",1
"19.04.2017","countries","Украина","",1
"19.04.2017","countries","Россия","",1
"18.04.2017","views","","",1
"18.04.2017","visitors","","",1
"18.04.2017","gender","М","",1
"18.04.2017","age","45+","",1
"18.04.2017","gender_age","М","45+",1
"18.04.2017","cities","Саратов","",1
"18.04.2017","countries","Россия","",1
"17.04.2017","views","","",4
"17.04.2017","visitors","","",4
"17.04.2017","gender","Ж","",3
"17.04.2017","gender","М","",1
"17.04.2017","age","18-21","",1
"17.04.2017","age","21-24","",1
"17.04.2017","age","24-27","",1
"17.04.2017","gender_age","Ж","21-24",1
"17.04.2017","gender_age","Ж","24-27",1
"17.04.2017","gender_age","М","18-21",1
"17.04.2017","cities","Павлодар","",1
"17.04.2017","cities","Санкт-Петербург","",1
"17.04.2017","countries","Россия","",4
"17.04.2017","members","Новые участники","",1
"17.04.2017","members","Вышедшие участники","",1
"16.04.2017","views","","",2
"16.04.2017","visitors","","",1
"16.04.2017","gender","Ж","",1
"16.04.2017","cities","Якутск","",1
"16.04.2017","countries","Россия","",1
"16.04.2017","members","Вышедшие участники","",1
"15.04.2017","views","","",6
"15.04.2017","visitors","","",4
"15.04.2017","gender","Ж","",2
"15.04.2017","gender","М","",2
"15.04.2017","age","18-21","",2
"15.04.2017","age","45+","",1
"15.04.2017","gender_age","Ж","18-21",1
"15.04.2017","gender_age","М","18-21",1
"15.04.2017","gender_age","М","45+",1
"15.04.2017","cities","Санкт-Петербург","",1
"15.04.2017","countries","Россия","",3
"15.04.2017","countries","Украина","",1
"15.04.2017","members","Новые участники","",1
"14.04.2017","views","","",2
"14.04.2017","visitors","","",1
"14.04.2017","gender","Ж","",1
"14.04.2017","age","24-27","",1
"14.04.2017","gender_age","Ж","24-27",1
"14.04.2017","cities","Санкт-Петербург","",1
"14.04.2017","countries","Россия","",1
"14.04.2017","sections","Фотоальбомы","",1
"13.04.2017","views","","",2
"13.04.2017","visitors","","",1
"13.04.2017","gender","Ж","",1
"13.04.2017","age","21-24","",1
"13.04.2017","gender_age","Ж","21-24",1
"13.04.2017","cities","Санкт-Петербург","",1
"13.04.2017","countries","Россия","",1
"13.04.2017","members","Новые участники","",1
"12.04.2017","views","","",4
"12.04.2017","visitors","","",3
"12.04.2017","gender","М","",2
"12.04.2017","age","27-30","",1
"12.04.2017","age","35-45","",1
"12.04.2017","gender_age","М","27-30",1
"12.04.2017","gender_age","М","35-45",1
"12.04.2017","cities","Томск","",1
"12.04.2017","cities","Казань","",1
"12.04.2017","countries","Россия","",3
"11.04.2017","views","","",4
"11.04.2017","visitors","","",3
"11.04.2017","gender","М","",3
"11.04.2017","age","24-27","",1
"11.04.2017","age","45+","",1
"11.04.2017","gender_age","М","24-27",1
"11.04.2017","gender_age","М","45+",1
"11.04.2017","cities","Санкт-Петербург","",1
"11.04.2017","countries","Россия","",2
"11.04.2017","countries","Украина","",1
"11.04.2017","members","Вышедшие участники","",1
"10.04.2017","views","","",1
"10.04.2017","visitors","","",1
"10.04.2017","gender","Ж","",1
"10.04.2017","age","1-18","",1
"10.04.2017","gender_age","Ж","1-18",1
"10.04.2017","countries","Россия","",1
"09.04.2017","views","","",11
"09.04.2017","visitors","","",3
"09.04.2017","gender","Ж","",1
"09.04.2017","gender","М","",2
"09.04.2017","age","21-24","",2
"09.04.2017","age","45+","",1
"09.04.2017","gender_age","Ж","45+",1
"09.04.2017","gender_age","М","21-24",2
"09.04.2017","cities","Санкт-Петербург","",3
"09.04.2017","countries","Россия","",3
"09.04.2017","members","Вышедшие участники","",1
"08.04.2017","views","","",2
"08.04.2017","visitors","","",2
"08.04.2017","gender","Ж","",1
"08.04.2017","gender","М","",1
"08.04.2017","age","18-21","",1
"08.04.2017","age","35-45","",1
"08.04.2017","gender_age","Ж","18-21",1
"08.04.2017","gender_age","М","35-45",1
"08.04.2017","cities","Санкт-Петербург","",1
"08.04.2017","cities","Казань","",1
"08.04.2017","countries","Россия","",2
"07.04.2017","views","","",5
"07.04.2017","visitors","","",3
"07.04.2017","gender","Ж","",2
"07.04.2017","gender","М","",1
"07.04.2017","age","18-21","",1
"07.04.2017","age","21-24","",1
"07.04.2017","age","30-35","",1
"07.04.2017","gender_age","Ж","18-21",1
"07.04.2017","gender_age","Ж","30-35",1
"07.04.2017","gender_age","М","21-24",1
"07.04.2017","cities","Санкт-Петербург","",2
"07.04.2017","countries","Россия","",3
"07.04.2017","members","Вышедшие участники","",1
"06.04.2017","views","","",7
"06.04.2017","visitors","","",4
"06.04.2017","gender","Ж","",1
"06.04.2017","gender","М","",3
"06.04.2017","age","18-21","",3
"06.04.2017","age","27-30","",1
"06.04.2017","gender_age","Ж","18-21",1
"06.04.2017","gender_age","М","18-21",2
"06.04.2017","gender_age","М","27-30",1
"06.04.2017","cities","Балаково","",1
"06.04.2017","cities","Курчатов","",1
"06.04.2017","cities","Санкт-Петербург","",1
"06.04.2017","countries","Россия","",4
"06.04.2017","sections","Видеозаписи","",2
"05.04.2017","views","","",4
"05.04.2017","visitors","","",4
"05.04.2017","gender","Ж","",2
"05.04.2017","gender","М","",1
"05.04.2017","age","21-24","",1
"05.04.2017","age","24-27","",1
"05.04.2017","gender_age","Ж","24-27",1
"05.04.2017","gender_age","М","21-24",1
"05.04.2017","cities","Санкт-Петербург","",3
"05.04.2017","countries","Россия","",4
"04.04.2017","views","","",9
"04.04.2017","visitors","","",7
"04.04.2017","gender","Ж","",5
"04.04.2017","gender","М","",2
"04.04.2017","age","21-24","",3
"04.04.2017","age","24-27","",1
"04.04.2017","age","27-30","",2
"04.04.2017","age","45+","",1
"04.04.2017","gender_age","Ж","21-24",2
"04.04.2017","gender_age","Ж","24-27",1
"04.04.2017","gender_age","Ж","27-30",2
"04.04.2017","gender_age","М","21-24",1
"04.04.2017","gender_age","М","45+",1
"04.04.2017","cities","Киров","",1
"04.04.2017","cities","Харьков","",1
"04.04.2017","cities","Санкт-Петербург","",1
"04.04.2017","countries","Россия","",6
"04.04.2017","countries","Украина","",1
"04.04.2017","sections","Обсуждения","",1
"03.04.2017","views","","",2
"03.04.2017","visitors","","",2
"03.04.2017","gender","М","",2
"03.04.2017","age","18-21","",2
"03.04.2017","gender_age","М","18-21",2
"03.04.2017","cities","Санкт-Петербург","",1
"03.04.2017","countries","Россия","",2
"03.04.2017","members","Вышедшие участники","",1
"02.04.2017","views","","",5
"02.04.2017","visitors","","",4
"02.04.2017","gender","Ж","",1
"02.04.2017","gender","М","",2
"02.04.2017","age","18-21","",2
"02.04.2017","age","21-24","",1
"02.04.2017","gender_age","Ж","21-24",1
"02.04.2017","gender_age","М","18-21",2
"02.04.2017","cities","Балаково","",1
"02.04.2017","cities","Челябинск","",1
"02.04.2017","cities","Санкт-Петербург","",1
"02.04.2017","countries","Россия","",3
"02.04.2017","countries","Беларусь","",1
"02.04.2017","sections","Видеозаписи","",1
"01.04.2017","views","","",0
"01.04.2017","visitors","","",0
"31.03.2017","views","","",2
"31.03.2017","visitors","","",2
"31.03.2017","gender","М","",1
"31.03.2017","age","18-21","",1
"31.03.2017","gender_age","М","18-21",1
"31.03.2017","cities","Балаково","",1
"31.03.2017","countries","Россия","",2
"31.03.2017","members","Новые участники","",1
"30.03.2017","views","","",1
"30.03.2017","visitors","","",1
"30.03.2017","gender","Ж","",1
"30.03.2017","age","27-30","",1
"30.03.2017","gender_age","Ж","27-30",1
"30.03.2017","cities","Санкт-Петербург","",1
"30.03.2017","countries","Россия","",1
"29.03.2017","views","","",4
"29.03.2017","visitors","","",3
"29.03.2017","gender","Ж","",1
"29.03.2017","gender","М","",2
"29.03.2017","age","18-21","",2
"29.03.2017","age","24-27","",1
"29.03.2017","gender_age","Ж","18-21",1
"29.03.2017","gender_age","М","18-21",1
"29.03.2017","gender_age","М","24-27",1
"29.03.2017","cities","Санкт-Петербург","",1
"29.03.2017","countries","Россия","",3
"28.03.2017","views","","",3
"28.03.2017","visitors","","",3
"28.03.2017","gender","Ж","",1
"28.03.2017","gender","М","",2
"28.03.2017","age","21-24","",2
"28.03.2017","age","35-45","",1
"28.03.2017","gender_age","Ж","21-24",1
"28.03.2017","gender_age","М","21-24",1
"28.03.2017","gender_age","М","35-45",1
"28.03.2017","cities","Санкт-Петербург","",1
"28.03.2017","countries","Россия","",2
"28.03.2017","countries","Украина","",1
"28.03.2017","members","Новые участники","",1
"27.03.2017","views","","",7
"27.03.2017","visitors","","",5
"27.03.2017","gender","Ж","",3
"27.03.2017","gender","М","",2
"27.03.2017","age","1-18","",1
"27.03.2017","age","21-24","",1
"27.03.2017","age","24-27","",2
"27.03.2017","gender_age","Ж","21-24",1
"27.03.2017","gender_age","Ж","24-27",1
"27.03.2017","gender_age","М","1-18",1
"27.03.2017","gender_age","М","24-27",1
"27.03.2017","cities","Новосибирск","",1
"27.03.2017","cities","Приозерск","",1
"27.03.2017","cities","Санкт-Петербург","",1
"27.03.2017","countries","Россия","",5
"27.03.2017","sections","Фотоальбомы","",1
"26.03.2017","views","","",4
"26.03.2017","visitors","","",3
"26.03.2017","gender","М","",3
"26.03.2017","age","21-24","",1
"26.03.2017","age","27-30","",1
"26.03.2017","age","35-45","",1
"26.03.2017","gender_age","М","21-24",1
"26.03.2017","gender_age","М","27-30",1
"26.03.2017","gender_age","М","35-45",1
"26.03.2017","cities","Севастополь","",1
"26.03.2017","cities","Волгоград","",1
"26.03.2017","cities","Краснодар","",1
"26.03.2017","countries","Россия","",3
"25.03.2017","views","","",0
"25.03.2017","visitors","","",0
"24.03.2017","views","","",0
"24.03.2017","visitors","","",0
"23.03.2017","views","","",4
"23.03.2017","visitors","","",3
"23.03.2017","gender","Ж","",2
"23.03.2017","age","45+","",1
"23.03.2017","gender_age","Ж","45+",1
"23.03.2017","cities","La Plata","",1
"23.03.2017","cities","Москва","",1
"23.03.2017","countries","Россия","",2
"23.03.2017","countries","США","",1
"23.03.2017","members","Вышедшие участники","",1
"22.03.2017","views","","",5
"22.03.2017","visitors","","",4
"22.03.2017","gender","Ж","",2
"22.03.2017","gender","М","",1
"22.03.2017","age","18-21","",1
"22.03.2017","gender_age","М","18-21",1
"22.03.2017","cities","Павлодар","",1
"22.03.2017","cities","Москва","",1
"22.03.2017","countries","Россия","",3
"22.03.2017","countries","США","",1
"21.03.2017","views","","",7
"21.03.2017","visitors","","",2
"21.03.2017","gender","М","",2
"21.03.2017","age","18-21","",1
"21.03.2017","gender_age","М","18-21",1
"21.03.2017","cities","Санкт-Петербург","",2
"21.03.2017","countries","Россия","",2
"21.03.2017","sections","Фотоальбомы","",5
"21.03.2017","members","Вышедшие участники","",1
"20.03.2017","views","","",8
"20.03.2017","visitors","","",4
"20.03.2017","gender","М","",3
"20.03.2017","age","18-21","",1
"20.03.2017","age","21-24","",1
"20.03.2017","age","27-30","",1
"20.03.2017","gender_age","М","18-21",1
"20.03.2017","gender_age","М","21-24",1
"20.03.2017","gender_age","М","27-30",1
"20.03.2017","cities","Красноярск","",1
"20.03.2017","cities","Санкт-Петербург","",1
"20.03.2017","countries","Россия","",4
"20.03.2017","sections","Фотоальбомы","",3
"20.03.2017","members","Вышедшие участники","",1
"19.03.2017","views","","",3
"19.03.2017","visitors","","",2
"19.03.2017","gender","М","",2
"19.03.2017","age","27-30","",1
"19.03.2017","age","45+","",1
"19.03.2017","gender_age","М","27-30",1
"19.03.2017","gender_age","М","45+",1
"19.03.2017","cities","Кривой Рог","",1
"19.03.2017","cities","Санкт-Петербург","",1
"19.03.2017","countries","Украина","",1
"19.03.2017","countries","Россия","",1
"19.03.2017","sections","Видеозаписи","",1
"19.03.2017","members","Вышедшие участники","",1
"18.03.2017","views","","",6
"18.03.2017","visitors","","",5
"18.03.2017","gender","Ж","",2
"18.03.2017","gender","М","",2
"18.03.2017","age","18-21","",2
"18.03.2017","gender_age","Ж","18-21",1
"18.03.2017","gender_age","М","18-21",1
"18.03.2017","cities","Санкт-Петербург","",2
"18.03.2017","countries","Россия","",3
"18.03.2017","countries","США","",1
"18.03.2017","countries","Украина","",1
"17.03.2017","views","","",0
"17.03.2017","visitors","","",0
"17.03.2017","members","Вышедшие участники","",1
"16.03.2017","views","","",2
"16.03.2017","visitors","","",2
"16.03.2017","gender","Ж","",1
"16.03.2017","gender","М","",1
"16.03.2017","age","21-24","",1
"16.03.2017","gender_age","Ж","21-24",1
"16.03.2017","cities","Конотоп","",1
"16.03.2017","cities","Санкт-Петербург","",1
"16.03.2017","countries","Украина","",1
"16.03.2017","countries","Россия","",1
"15.03.2017","views","","",3
"15.03.2017","visitors","","",3
"15.03.2017","gender","Ж","",1
"15.03.2017","gender","М","",2
"15.03.2017","age","21-24","",2
"15.03.2017","age","24-27","",1
"15.03.2017","gender_age","Ж","21-24",1
"15.03.2017","gender_age","М","21-24",1
"15.03.2017","gender_age","М","24-27",1
"15.03.2017","cities","Санкт-Петербург","",2
"15.03.2017","cities","Астрахань","",1
"15.03.2017","countries","Россия","",3
"15.03.2017","members","Вышедшие участники","",1
"14.03.2017","views","","",1
"14.03.2017","visitors","","",1
"14.03.2017","gender","Ж","",1
"14.03.2017","age","27-30","",1
"14.03.2017","gender_age","Ж","27-30",1
"14.03.2017","cities","Красногорск","",1
"14.03.2017","countries","Россия","",1
"13.03.2017","views","","",3
"13.03.2017","visitors","","",3
"13.03.2017","gender","Ж","",1
"13.03.2017","gender","М","",2
"13.03.2017","age","18-21","",1
"13.03.2017","age","35-45","",1
"13.03.2017","age","45+","",1
"13.03.2017","gender_age","Ж","18-21",1
"13.03.2017","gender_age","М","35-45",1
"13.03.2017","gender_age","М","45+",1
"13.03.2017","cities","Харьков","",1
"13.03.2017","cities","Санкт-Петербург","",1
"13.03.2017","countries","Россия","",2
"13.03.2017","countries","Украина","",1
"13.03.2017","members","Новые участники","",1
"13.03.2017","members","Вышедшие участники","",1
"12.03.2017","views","","",4
"12.03.2017","visitors","","",4
"12.03.2017","gender","М","",4
"12.03.2017","age","18-21","",2
"12.03.2017","age","24-27","",1
"12.03.2017","age","27-30","",1
"12.03.2017","gender_age","М","18-21",2
"12.03.2017","gender_age","М","24-27",1
"12.03.2017","gender_age","М","27-30",1
"12.03.2017","cities","Санкт-Петербург","",4
"12.03.2017","countries","Россия","",4
"11.03.2017","views","","",1
"11.03.2017","visitors","","",1
"11.03.2017","gender","М","",1
"11.03.2017","age","35-45","",1
"11.03.2017","gender_age","М","35-45",1
"11.03.2017","countries","Россия","",1
"10.03.2017","views","","",3
"10.03.2017","visitors","","",2
"10.03.2017","gender","Ж","",1
"10.03.2017","gender","М","",1
"10.03.2017","age","21-24","",1
"10.03.2017","age","45+","",1
"10.03.2017","gender_age","Ж","21-24",1
"10.03.2017","gender_age","М","45+",1
"10.03.2017","cities","Санкт-Петербург","",2
"10.03.2017","countries","Россия","",2
